Country Name,Country Code,Indicator Name,Indicator Code,1960,2020
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,,180
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,,14807043.23
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,,652860
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,,9045780
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,,13081763.72
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,,2736690
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,,82654
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,,780
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,,202980
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,,54
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,,38140
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,,8965590
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,,1106266.4
